ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Updown, RotVec, 14, 0.96, 0.87, 56, 496, 490, 6, 14, 42, 0.01, 0.25, 0.20
RF-501, Updown, RotVec, 15, 0.97, 0.84, 47, 505, 505, 0, 15, 32, 0.00, 0.32, 0.24
RF-501, Tilt, RotVec, 1, 0.99, 0.96, 50, 618, 616, 2, 4, 46, 0.00, 0.08, 0.07
RF-501, Tilt, RotVec, 2, 1.00, 0.99, 56, 612, 612, 0, 1, 55, 0.00, 0.02, 0.02
RF-501, Tilt, RotVec, 3, 0.99, 0.95, 55, 613, 613, 0, 5, 50, 0.00, 0.09, 0.08
RF-501, Tilt, RotVec, 4, 0.99, 0.97, 55, 613, 611, 2, 3, 52, 0.00, 0.05, 0.05
RF-501, Tilt, RotVec, 5, 0.99, 0.92, 37, 631, 628, 3, 6, 31, 0.00, 0.16, 0.14
RF-501, Tilt, RotVec, 6, 0.98, 0.93, 45, 623, 618, 5, 6, 39, 0.01, 0.13, 0.12
RF-501, Tilt, RotVec, 7, 1.00, 0.96, 36, 632, 632, 0, 3, 33, 0.00, 0.08, 0.08
RF-501, Tilt, RotVec, 8, 0.99, 0.89, 42, 626, 626, 0, 9, 33, 0.00, 0.21, 0.18
RF-501, Tilt, RotVec, 9, 0.98, 0.90, 46, 622, 616, 6, 9, 37, 0.01, 0.20, 0.16
RF-501, Tilt, RotVec, 10, 0.97, 0.83, 41, 627, 624, 3, 14, 27, 0.00, 0.34, 0.26
RF-501, Tilt, RotVec, 11, 1.00, 0.98, 28, 640, 639, 1, 1, 27, 0.00, 0.04, 0.03
RF-501, Tilt, RotVec, 12, 1.00, 1.00, 41, 627, 626, 1, 0, 41, 0.00, 0.00, 0.00
